MAPID,MAP,Str,場所ID,地名,室内外,プロンプト,ネガティブ,備考
0,MAP神社,1,1,鳥居,,Str6001まで要らない,,
0,MAP神社,2,2,境内,,,,
0,MAP神社,3,3,賽銭箱,,,,
0,MAP神社,4,4,本殿,,,,
0,MAP神社,5,5,手水舎,,,,
0,MAP神社,6,6,物置,,,,
0,MAP神社,7,7,土間,,,,
0,MAP神社,8,8,台所,,,,
0,MAP神社,9,9,居間,,,,
0,MAP神社,10,10,縁側,,,,
0,MAP神社,11,11,庭（訓練可能）,,,,
0,MAP神社,12,12,脱衣所,,,,
0,MAP神社,13,13,風呂,,,,
0,MAP神社,14,14,トイレ,,,,
0,MAP神社,15,15,霊夢私室,,,,
0,MAP神社,16,16,ボロ小屋,,,,
0,MAP神社,17,17,小さい納戸,,,,
0,MAP神社,18,18,押入れ,,,,
0,MAP神社,19,19,大きい納戸,,,,
0,MAP神社,20,20,本殿の裏,,,,
0,MAP神社,21,21,守矢神社分社,,,,
0,MAP神社,22,22,参道,,,,
,,23,,温泉・脱衣所,,,,
0,MAP神社,24,24,温泉,,,,
0,MAP神社,25,25,鎮守の森,,,,
,,26,,三妖精の家・入口,,,,
,,27,,三妖精の家・広間,,,,
,,28,,三妖精の家・階段,,,,
,,29,,三妖精の家・キッチン,,,,
,,30,,三妖精の家・風呂,,,,
,,31,,三妖精の家・二階廊下,,,,
0,MAP神社,32,32,サニー私室,,,,
0,MAP神社,33,33,ルナ私室,,,,
0,MAP神社,34,34,スター私室,,,,
,,35,,三妖精の家・地下室,,,,
0,MAP神社,36,36,夢幻遺跡前,,,,
,,37,,夢幻遺跡・一階通路,,,,
,,38,,夢幻遺跡・洗面所,,,,
,,39,,夢幻遺跡・浴室,,,,
,,40,,夢幻遺跡・トイレ,,,,
,,41,,夢幻遺跡・食堂兼談話室,,,,
,,42,,夢幻遺跡・調理室,,,,
0,MAP神社,43,43,夢美私室,,,,
0,MAP神社,44,44,ちゆり私室,,,,
,,45,,夢幻遺跡・階段,,,,
,,46,,夢幻遺跡・二階通路,,,,
,,47,,夢幻遺跡・艦橋,,,,
,,48,,夢幻遺跡・第一資料室,,,,
,,49,,夢幻遺跡・研究室,,,,
,,50,,夢幻遺跡・第二資料室,,,,
,,51,,夢幻遺跡・倉庫,,,,
0,MAP神社,52,52,離れ,,,,
0,MAP神社,53,53,納戸,,,,
0,MAP神社,54,54,小人の虫かご,,,,
0,MAP神社,55,55,和室,,,,
0,MAP神社,56,56,参道の向こう,,,,
,,98,,お招き部屋,indoor,Invitation room,,
,,5000,,博麗神社,,Hakurei Shrine,,
,,5001,,命蓮寺,,Rimenji Temple,,
,,5002,,人間の里,,Human village,,
,,5003,,博麗神社,,"outdoor,In the woods,(Japanese Shrine precincts)",,
,,5003,,霧の湖～紅魔館,,Kirinakan -Kamaikan,,
,,5004,,迷いの竹林,,Humeless bamboo forest,,
,,5005,,魔法の森,,Magical forest,,
,,5006,,三途の川～冥界,,Sanno River -Underworld,,
,,5007,,妖怪の山 (山麓),,Mountain of Youkai (Foot Foot),,
,,5008,,妖怪の山 (山頂),,Mountain of youkai (summit),,
,,5009,,地底,,Underground,,
,,5010,,夢の世界～月,,Dream world -moon,,
,,6001,,桜並木の鳥居,,"torii, countryside, hakurei shrine ",,
,,6002,,神社境内,,"Precincts, countryside, hakurei shrine ,cobblestone",,
,,6003,,神社本堂,indoor,Shrine main hall,,
,,6004,,神社縁側,,Shrine border,,
,,6005,,妖精の大樹,,Fairy Daiki,,
,,6006,,夢幻遺跡,indoor,Dread archeological site,,
,,6011,,お地蔵通り,,"stone floor,cobblestone road,Jizo statues lined up",,
,,6011,,命蓮寺参道,,"stone floor,cobblestone road",,
,,6012,,枝垂れ柳の下,,Under the weeping willow,,柳の木が出せない
,,6013,,命蓮寺境内,,"temple precincts,stone floor,cobblestone,countryside,shrub,stone lantern",,
